Route d’Erpeldange	Route d'Erpeldange
Rue de La Vallée	Rue de la Vallée
Rue Laurent	Rue François Laurent
Rue St Donat	Rue Saint-Donat
Rue Donatusgässel	Donatusgässel
Beschgaessel	Beschgässel
Rue A Peschen	An de Peschen
Rue Hanzenthal	Rue Hanzendahl
Rue Lumière	Rue Auguste Lumière
Rue Edison	Rue Thomas Edison
Rue Amalberge	Rue Sainte-Amalberge
Rue Oberst Daessent	Oberst Daessent
Rue Edouard Kraus	Rue Édouard Kraus
Um Knaeppchen	Um Knäppchen
Op Praikert	Op Präikert
Um Leisbesch	Um Leisbësch
Nicolas Leyder Strooss	Nicolas-Leyder-Strooss
Rue Hënneschtgaass	Hënneschtgaass
Op der Geessebrëck	Op der Geessebréck
Rue Äppelhiehl	Äppelhiehl
Rue Bell	Rue Bëll
Rue Buurg	Rue Burg
Rue Wickringerhoehl	Wickringerhiehl
Rue Schléf	Schléf
Rue de la Terre Noire	Rue Terre Noire
Hussegaessel	Hussegässel
Am Klengen Park	Am Klenge Park
An der Réispelt	An der Reispelt
Echelsbaach	Rue Eechelsbaach
Um Aale Waasser	Um ale Waasser
Gaesselchen	An der Gässelchen
Op der Schmett	Op der Schmëdd
Am Grennchen	Am Grënnchen
Schneckelsbierg	Op Schneckelsbierg
Colmar Pont	Colmar-Pont
Zone Industrielle Piret	Zone Industrielle Jean Piret
Rue Dr Louise Welter	Rue Docteur Louise Welter
Frengerhaff	Fréngerhaff
An der Gewaann	An der Gewan
Dickschbour	Dickeschbour
Leitschbaach	Rue Leitschbaach
Schiltzenplatz	Rue Schiltzenplatz
An de Laengten	An de Längten
Grueweréck	Gruewereck
Killeboesch	Killebësch
Rue de Lauenburg	Rue Lauenburg
Al Gaass	Vieille Rue
Rue Pasteur	Rue Louis Pasteur
Rue Curie	Rue Pierre et Marie Curie
In Boujel	A Boujel
Kriibsebach	Kriibsebaach
Krechelsberg	Am Krëchelsbierg
Gemengebreck	Gemengebréck
ZAE Auf Herbett	Zone d'Activité Économique Auf Herbett
Kiirchegässel	Kierchegässel
Rue Greveneck	Am Gréiweneck
Bei der Breck	Bei der Bréck
Freresmillen	Fréiresmillen
Ferme	Niederglabach
Place Emile Thein	Place Émile Thein
Chemin Brommesheck	Brommesheck
Avenue du Dix Septembre	Avenue du 10 septembre
